action step time valid done rdy ack
reciever 478 1393.6525039796281 0 0 1 1
sender 479 1396.6105981110338 0 0 0 1
producer 480 1405.4292347144026 1 0 0 1
consumer 481 1406.9415787512191 1 1 0 1
reciever 482 1406.987307037429 1 1 0 0
sender 483 1407.955811978812 1 1 1 0
consumer 484 1418.446952849468 1 0 1 0
reciever 485 1418.61047565607 1 0 1 1
sender 486 1419.8953152661973 1 0 0 1
consumer 487 1425.8120260315757 1 1 0 1
reciever 488 1427.048623478954 1 1 0 0
sender 489 1429.0627250817186 1 1 1 0
[Fault] 490 1440.8962749880623 0 1 1 0
consumer 491 1450.7690888066236 0 0 1 0
reciever 492 1451.490717127684 0 0 1 1
sender 493 1453.111954405623 0 0 0 1
consumer 494 1459.7958092848921 0 1 0 1
reciever 495 1459.840990977361 0 1 0 0
consumer 496 1464.691537975325 0 0 0 0
producer 497 1469.8752727882813 1 0 0 0
sender 498 1473.0713382785177 1 0 1 0
reciever 499 1473.2679116174622 1 0 1 1
sender 500 1473.4473456954659 1 0 0 1
producer 501 1476.3760141829598 0 0 0 1
consumer 502 1477.5261316560213 0 1 0 1
reciever 503 1477.8101442230286 0 1 0 0
consumer 504 1481.8399431326973 0 0 0 0
producer 505 1496.6873291748136 1 0 0 0
producer 506 1497.036449539191 0 0 0 0
producer 507 1510.4441027420964 1 0 0 0
sender 508 1510.770384979438 1 0 1 0
reciever 509 1512.869776345895 1 0 1 1
sender 510 1514.0071720638741 1 0 0 1
producer 511 1517.2527195938417 0 0 0 1
consumer 512 1519.8365363157397 0 1 0 1
reciever 513 1522.1860307494408 0 1 0 0
producer 514 1524.505609819084 1 1 0 0
sender 515 1526.4993253565422 1 1 1 0
[Fault] 516 1530.8218353476655 0 1 1 0
consumer 517 1550.6381405419506 0 0 1 0
reciever 518 1553.8674764446062 0 0 1 1
sender 519 1554.1933591122154 0 0 0 1
producer 520 1556.2636987201597 1 0 0 1
consumer 521 1557.6730074444042 1 1 0 1
reciever 522 1558.0784269336057 1 1 0 0
sender 523 1558.8673687983296 1 1 1 0
consumer 524 1569.7353714190294 1 0 1 0
reciever 525 1569.9194138406936 1 0 1 1
sender 526 1570.378093726565 1 0 0 1
consumer 527 1571.8829679317134 1 1 0 1
reciever 528 1575.4482393089486 1 1 0 0
sender 529 1575.6974385159165 1 1 1 0
consumer 530 1580.3356710073813 1 0 1 0
reciever 531 1580.4381018592846 1 0 1 1
sender 532 1580.531082489412 1 0 0 1
producer 533 1591.988419219856 0 0 0 1
producer 534 1599.7977826907984 1 0 0 1
producer 535 1603.7896296795802 0 0 0 1
consumer 536 1608.6246278237777 0 1 0 1
reciever 537 1610.7888173107021 0 1 0 0
consumer 538 1616.7003609959968 0 0 0 0
producer 539 1618.256705200966 1 0 0 0
producer 540 1618.5400464034665 0 0 0 0
producer 541 1626.4520447332898 1 0 0 0
sender 542 1626.9459606980613 1 0 1 0
reciever 543 1628.8675529384263 1 0 1 1
sender 544 1629.4572565592193 1 0 0 1
producer 545 1631.0141606729085 0 0 0 1
producer 546 1632.480554704871 1 0 0 1
consumer 547 1637.4648502942202 1 1 0 1
reciever 548 1639.57379332767 1 1 0 0
sender 549 1641.7004001317 1 1 1 0
consumer 550 1642.2311172157067 1 0 1 0
reciever 551 1643.661942163327 1 0 1 1
sender 552 1643.826199856102 1 0 0 1
consumer 553 1655.6696379470045 1 1 0 1
reciever 554 1656.153553485205 1 1 0 0
sender 555 1656.6179424077113 1 1 1 0
consumer 556 1675.5389405863536 1 0 1 0
reciever 557 1676.8258107172346 1 0 1 1
sender 558 1677.4568825635579 1 0 0 1
producer 559 1680.2178115298566 0 0 0 1
consumer 560 1689.4734531158847 0 1 0 1
reciever 561 1689.9992527248214 0 1 0 0
consumer 562 1699.9558241224443 0 0 0 0
producer 563 1701.3318507497152 1 0 0 0
sender 564 1702.7947135160762 1 0 1 0
reciever 565 1703.6479129051827 1 0 1 1
sender 566 1708.7263230524713 1 0 0 1
producer 567 1716.575705922939 0 0 0 1
consumer 568 1719.792088228036 0 1 0 1
reciever 569 1720.9528281324078 0 1 0 0
producer 570 1724.3607235729578 1 1 0 0
sender 571 1724.5919756136484 1 1 1 0
consumer 572 1729.324179472985 1 0 1 0
reciever 573 1729.9336166518558 1 0 1 1
sender 574 1730.1190121881668 1 0 0 1
producer 575 1733.266951512872 0 0 0 1
producer 576 1740.9273968304663 1 0 0 1
producer 577 1742.2351359950817 0 0 0 1
consumer 578 1749.5001468115224 0 1 0 1
reciever 579 1750.0591324034365 0 1 0 0
producer 580 1751.1713849519444 1 1 0 0
sender 581 1753.0225455232567 1 1 1 0
consumer 582 1759.1309402529491 1 0 1 0
reciever 583 1760.3735077169677 1 0 1 1
sender 584 1761.575250104146 1 0 0 1
producer 585 1762.0639269739215 0 0 0 1
consumer 586 1766.644372116736 0 1 0 1
reciever 587 1767.7521270467455 0 1 0 0
consumer 588 1784.6475417901572 0 0 0 0
producer 589 1787.34990097281 1 0 0 0
sender 590 1788.161286194661 1 0 1 0
reciever 591 1788.2756429912843 1 0 1 1
sender 592 1788.872765230784 1 0 0 1
consumer 593 1791.5360287179715 1 1 0 1
reciever 594 1791.6928589157603 1 1 0 0
sender 595 1792.4163194539403 1 1 1 0
consumer 596 1804.1861227284403 1 0 1 0
reciever 597 1805.5559986133894 1 0 1 1
sender 598 1806.9066018030246 1 0 0 1
consumer 599 1810.6259231248637 1 1 0 1
reciever 600 1811.7585295894148 1 1 0 0
sender 601 1812.0442953400052 1 1 1 0
consumer 602 1816.7277137760748 1 0 1 0
reciever 603 1818.8641723461374 1 0 1 1
sender 604 1819.8296829987219 1 0 0 1
producer 605 1824.2754923146433 0 0 0 1
consumer 606 1827.718512748342 0 1 0 1
reciever 607 1828.9373420080847 0 1 0 0
consumer 608 1840.5077846913314 0 0 0 0
producer 609 1849.752613914738 1 0 0 0
sender 610 1850.0263821945068 1 0 1 0
reciever 611 1850.677870545441 1 0 1 1
sender 612 1853.520677254717 1 0 0 1
consumer 613 1860.8699853861274 1 1 0 1
reciever 614 1861.5278985594696 1 1 0 0
sender 615 1862.3678583312426 1 1 1 0
consumer 616 1873.0213365648272 1 0 1 0
reciever 617 1873.2416451871582 1 0 1 1
sender 618 1873.3501112884576 1 0 0 1
consumer 619 1877.5060869755591 1 1 0 1
reciever 620 1878.3592042866867 1 1 0 0
sender 621 1878.4089663181599 1 1 1 0
consumer 622 1885.7573597659105 1 0 1 0
reciever 623 1886.0373572045705 1 0 1 1
sender 624 1887.251919948777 1 0 0 1
consumer 625 1890.0344672624394 1 1 0 1
reciever 626 1890.1568362785254 1 1 0 0
sender 627 1891.9115179441244 1 1 1 0
consumer 628 1917.4911493979787 1 0 1 0
reciever 629 1921.241278854067 1 0 1 1
[Fault] 630 1922.4519495147986 0 0 1 1
sender 631 1924.2588159332588 0 0 0 1
consumer 632 1931.2943057194657 0 1 0 1
reciever 633 1931.359694044545 0 1 0 0
producer 634 1941.2789851898485 1 1 0 0
sender 635 1942.7849043313615 1 1 1 0
consumer 636 1951.1253453881484 1 0 1 0
